SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude
Bitzub,98:1a:35:ca:e2:2c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:33.802,2024-11-07 03:38:46.252,Infrastructure,Unknown,40,-79,Bitzub,98:1a:35:ca:e2:2c,-76,5745,102.61656947608353,17.929549479302253
L&L,98:1a:35:ca:e1:a0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:29:33.802,2024-11-07 03:38:50.212,Infrastructure,Unknown,38,-80,L&L,98:1a:35:ca:e1:a0,-85,2432,102.61649019797493,17.928511264398313
L&L,98:1a:35:ca:e1:a4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:33.802,2024-11-07 03:31:18.201,Infrastructure,Unknown,16,-90,L&L,98:1a:35:ca:e1:a4,-85,5180,102.61663723749406,17.929392235834065
keo2,14:4d:67:54:ac:1c,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:29:33.802,2024-11-07 03:38:50.212,Infrastructure,Unknown,78,-66,keo2,14:4d:67:54:ac:1c,-88,2447,102.6166450809121,17.929593275578405
My VW 0557 5G,ea:4f:25:4c:e2:78,Unknown,0,WPA2-Personal,CCMP,802.11ac,153,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:42.222,2024-11-07 03:31:29.890,Infrastructure,Unknown,20,-88,My VW 0557 5G,ea:4f:25:4c:e2:78,-75,5765,102.61653406589686,17.9290327697453
Sengkham,14:46:58:94:14:44,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:42.222,2024-11-07 03:38:33.182,Infrastructure,Unknown,43,-78,Sengkham,14:46:58:94:14:44,-85,5745,102.61653406589686,17.9290327697453
Meena Gino2,28:87:ba:f5:4e:5c,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:42.222,2024-11-07 03:38:46.252,Infrastructure,Unknown,50,-76,Meena Gino2,28:87:ba:f5:4e:5c,-76,5180,102.61653406589686,17.9290327697453
Meena Gino2,28:87:ba:f5:4e:5a,TP-Link Corporation Limited,0,WPA2-Personal,CCMP,802.11n,2,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:29:42.222,2024-11-07 03:38:42.481,Infrastructure,Unknown,72,-68,Meena Gino2,28:87:ba:f5:4e:5a,-83,2417,102.61653406589686,17.9290327697453
BOUPHASERT,5c:64:7a:63:10:70,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:42.222,2024-11-07 03:38:33.182,Infrastructure,Unknown,33,-82,BOUPHASERT,5c:64:7a:63:10:70,-79,5180,102.61658077661046,17.92848702150542
vivo V21 5G,da:43:d6:e7:78:82,Unknown,0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:29:42.222,2024-11-07 03:31:29.890,Infrastructure,Unknown,29,-84,vivo V21 5G,da:43:d6:e7:78:82,-94,2462,102.61649019797493,17.928511264398313
My VW 0557,ea:4f:25:2c:e2:78,Unknown,0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:29:42.222,2024-11-07 03:31:29.890,Infrastructure,Unknown,53,-75,My VW 0557,ea:4f:25:2c:e2:78,-83,2437,102.61649019797493,17.928511264398313
Napha,b4:04:21:87:1e:d4,zte corporation,0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:29:42.222,2024-11-07 03:31:35.255,Infrastructure,Unknown,35,-81,Napha,b4:04:21:87:1e:d4,-77,2422,102.61649019797493,17.928511264398313
VIPC 3,b8:a3:86:61:d7:d6,D-Link International,0,WPA2-Personal,CCMP,802.11n,52,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:31:35.255,Infrastructure,Unknown,24,-86,VIPC 3,b8:a3:86:61:d7:d6,-91,5260,102.61649019797493,17.928511264398313
Long,04:e7:95:3d:3c:8c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:38:19.765,Infrastructure,Unknown,70,-69,Long,04:e7:95:3d:3c:8c,-80,5745,102.61648505618486,17.927094024456835
Second floors 5G,1c:bf:ce:0c:d1:a2,"Shenzhen Century Xinyang Technology Co., Ltd",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:38:29.639,Infrastructure,Unknown,29,-84,Second floors 5G,1c:bf:ce:0c:d1:a2,-93,5745,102.616495629067,17.92727647203051
Xiengshop_5G,5c:92:5e:15:06:b8,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:31:47.000,Infrastructure,Unknown,31,-83,Xiengshop_5G,5c:92:5e:15:06:b8,-63,5745,102.6164419413236,17.92799236364523
MPIUS,24:43:e2:73:4e:61,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,40,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:38:29.639,Infrastructure,Unknown,20,-88,MPIUS,24:43:e2:73:4e:61,-88,5200,102.61640300655137,17.927580276181153
Xaylath-5G,5c:64:7a:77:27:0c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:38:33.182,Infrastructure,Unknown,35,-81,Xaylath-5G,5c:64:7a:77:27:0c,-89,5180,102.61649019797493,17.928511264398313
Sengkham,14:46:58:94:14:40,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:38:33.182,Infrastructure,Unknown,62,-72,Sengkham,14:46:58:94:14:40,-78,2462,102.61649019797493,17.928511264398313
TIGER,ac:61:75:a4:e8:dc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:29:48.925,2024-11-07 03:38:29.639,Infrastructure,Unknown,82,-61,TIGER,ac:61:75:a4:e8:dc,-70,2462,102.61655304200724,17.92809215545896
2000,cc:29:bd:69:46:30,zte corporation,0,WPA2-Personal,CCMP,802.11n,9,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:29:48.925,2024-11-07 03:38:37.143,Infrastructure,Unknown,88,-50,2000,cc:29:bd:69:46:30,-68,2452,102.61661919693324,17.929008465016363
Xiengshop_2.4G,5c:92:5e:15:06:bc,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:29:48.925,2024-11-07 03:38:29.639,Infrastructure,Unknown,70,-69,Xiengshop_2.4G,5c:92:5e:15:06:bc,-66,2447,102.61640300655137,17.927580276181153
phonethip,6c:14:6e:6f:92:d4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:38:29.639,Infrastructure,Unknown,53,-75,phonethip,6c:14:6e:6f:92:d4,-81,2442,102.6165298713053,17.927712296335216
Vigen,cc:29:bd:69:06:52,zte corporation,0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:29:48.925,2024-11-07 03:38:29.639,Infrastructure,Unknown,60,-73,Vigen,cc:29:bd:69:06:52,-59,2442,102.61640300655137,17.927580276181153
Souksavath,b4:04:21:88:43:e4,zte corporation,0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:29:48.925,2024-11-07 03:38:29.639,Infrastructure,Unknown,80,-64,Souksavath,b4:04:21:88:43:e4,-81,2432,102.6164419413236,17.92799236364523
BOUPHASERT,5c:64:7a:63:10:6c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:29:48.925,2024-11-07 03:38:33.182,Infrastructure,Unknown,46,-77,BOUPHASERT,5c:64:7a:63:10:6c,-73,2422,102.61658077661046,17.92848702150542
Pui,6c:14:6e:6f:8f:ec,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:07.504,2024-11-07 03:31:58.366,Infrastructure,Unknown,40,-79,Pui,6c:14:6e:6f:8f:ec,-87,5745,102.6164215257274,17.926448110791252
Kasalong,24:2f:d0:cf:f8:66,Unknown,0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:07.504,2024-11-07 03:38:02.016,Infrastructure,Unknown,26,-85,Kasalong,24:2f:d0:cf:f8:66,-84,5180,102.61651318658922,17.925923930665807
GS,04:e7:95:3d:ad:e4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:30:07.504,2024-11-07 03:38:17.135,Infrastructure,Unknown,50,-76,GS,04:e7:95:3d:ad:e4,-75,2452,102.6164215257274,17.926448110791252
ETL-WIFI,14:4d:67:53:f2:ec,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:07.504,2024-11-07 03:38:19.765,Infrastructure,Unknown,80,-65,ETL-WIFI,14:4d:67:53:f2:ec,-60,2437,102.61648505618486,17.927094024456835
Covid 2021,fc:1b:d1:8c:64:4c,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:14.369,2024-11-07 03:38:02.016,Infrastructure,Unknown,24,-86,Covid 2021,fc:1b:d1:8c:64:4c,-81,5180,102.61651318658922,17.925923930665807
Covid 2021,fc:1b:d1:8c:64:48,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,9,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-07 03:30:14.369,2024-11-07 03:38:02.016,Infrastructure,Unknown,60,-73,Covid 2021,fc:1b:d1:8c:64:48,-79,2452,102.61651318658922,17.925923930665807
Phetsavang,00:2e:c7:fb:a6:cc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:14.369,2024-11-07 03:38:02.016,Infrastructure,Unknown,67,-70,Phetsavang,00:2e:c7:fb:a6:cc,-78,2462,102.61651318658922,17.925923930665807
Ko,b0:8b:92:75:38:66,zte corporation,0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:14.369,2024-11-07 03:38:02.016,Infrastructure,Unknown,53,-75,Ko,b0:8b:92:75:38:66,-77,2447,102.61678097394794,17.925266588992265
Somsavai,14:4d:67:53:e1:78,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:14.369,2024-11-07 03:38:02.016,Infrastructure,Unknown,88,-50,Somsavai,14:4d:67:53:e1:78,-59,2437,102.61658370637772,17.92562136584897
Free WiFi,ac:f9:70:1a:02:e4,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,2,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:30:14.369,2024-11-07 03:38:02.016,Infrastructure,Unknown,85,-56,Free WiFi,ac:f9:70:1a:02:e4,-72,2417,102.61675873844644,17.925122770946192
LOSO2,f4:28:53:ed:32:48,Zioncom Electronics (Shenzhen) Ltd.,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:14.369,2024-11-07 03:38:02.016,Infrastructure,Unknown,80,-65,LOSO2,f4:28:53:ed:32:48,-64,2412,102.61662282627776,17.925848354660953
Monster sole ,24:43:e2:91:7e:19,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,48,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:21.515,2024-11-07 03:37:52.625,Infrastructure,Unknown,43,-78,Monster sole ,24:43:e2:91:7e:19,-91,5240,102.61690076845709,17.924751683128395
Monster sole ,24:43:e2:91:7e:18,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:21.515,2024-11-07 03:37:52.625,Infrastructure,Unknown,83,-59,Monster sole ,24:43:e2:91:7e:18,-75,2432,102.61681133379416,17.925178208565665
Monster sole ,24:43:e2:92:0d:78,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:21.515,2024-11-07 03:37:52.625,Infrastructure,Unknown,92,-43,Monster sole ,24:43:e2:92:0d:78,-71,2432,102.61681133379416,17.925178208565665
Monster sole ,24:43:e2:92:0d:79,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,48,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:21.515,2024-11-07 03:32:08.397,Infrastructure,Unknown,85,-55,Monster sole ,24:43:e2:92:0d:79,-72,5240,102.6172167727742,17.924182552584472
Napha,b4:04:21:87:ad:0c,zte corporation,0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:29:48.925,2024-11-07 03:38:19.765,Infrastructure,Unknown,78,-66,Napha,b4:04:21:87:ad:0c,-70,2442,102.616495629067,17.92727647203051
iPhone,06:80:0f:4f:f6:1d,Unknown,0,OWE,CCMP,802.11ax,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:00.544,2024-11-07 03:31:47.000,Infrastructure,Unknown,16,-90,iPhone,06:80:0f:4f:f6:1d,-93,5745,102.616495629067,17.92727647203051
PK,dc:21:e2:97:e7:59,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:00.544,2024-11-07 03:38:19.765,Infrastructure,Unknown,72,-68,PK,dc:21:e2:97:e7:59,-76,5180,102.61637991650665,17.927067700767587
3M,f8:98:b9:a8:0c:ef,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11g,10,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:30:00.544,2024-11-07 03:31:47.000,Infrastructure,Unknown,43,-78,3M,f8:98:b9:a8:0c:ef,-91,2457,102.61640300655137,17.927580276181153
SLS,3c:15:fb:a5:ea:dc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-07 03:30:00.544,2024-11-07 03:38:19.765,Infrastructure,Unknown,81,-63,SLS,3c:15:fb:a5:ea:dc,-71,2447,102.6164972460318,17.92600100050573
Lalom@123,50:9e:a7:b0:4a:a3,"Samsung Electronics Co.,Ltd",0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:00.544,2024-11-07 03:31:47.000,Infrastructure,Unknown,67,-70,Lalom@123,50:9e:a7:b0:4a:a3,-82,2437,102.61640300655137,17.927580276181153
MPIUS,24:43:e2:73:4e:60,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,2,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:00.544,2024-11-07 03:38:29.639,Infrastructure,Unknown,81,-62,MPIUS,24:43:e2:73:4e:60,-74,2417,102.61640300655137,17.927580276181153
Ingfah,84:d8:1b:14:53:96,"TP-LINK TECHNOLOGIES CO.,LTD.",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:00.544,2024-11-07 03:38:29.639,Infrastructure,Unknown,62,-72,Ingfah,84:d8:1b:14:53:96,-74,2412,102.6165298713053,17.927712296335216
KHAM HOUNG SHOES,e8:6e:44:dd:b6:8c,zte corporation,0,WPA2-Personal,CCMP,802.11n,2,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:07.504,2024-11-07 03:38:17.135,Infrastructure,Unknown,80,-64,KHAM HOUNG SHOES,e8:6e:44:dd:b6:8c,-61,2417,102.6164215257274,17.926448110791252
Noukone 1,d8:32:14:e3:55:e9,"Tenda Technology Co.,Ltd.Dongguan branch",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:21.515,2024-11-07 03:32:08.397,Infrastructure,Unknown,62,-72,Noukone 1,d8:32:14:e3:55:e9,-81,2412,102.61690076845709,17.924751683128395
Noukone 1,d8:32:14:e3:55:e4,"Tenda Technology Co.,Ltd.Dongguan branch",0,WPA2-Personal,CCMP,802.11ac,40,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:21.515,2024-11-07 03:32:08.397,Infrastructure,Unknown,31,-83,Noukone 1,d8:32:14:e3:55:e4,-83,5200,102.61675873844644,17.925122770946192
Noukone 1,d8:32:14:e3:55:f1,"Tenda Technology Co.,Ltd.Dongguan branch",0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:21.515,2024-11-07 03:32:08.397,Infrastructure,Unknown,57,-74,Noukone 1,d8:32:14:e3:55:f1,-73,2437,102.6169784230294,17.924760897045054
Keohavong,04:e7:95:3c:54:18,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:21.515,2024-11-07 03:37:52.625,Infrastructure,Unknown,38,-80,Keohavong,04:e7:95:3c:54:18,-89,5745,102.61675873844644,17.925122770946192
Manivong-House,5c:64:7a:63:0e:d8,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:21.515,2024-11-07 03:38:02.016,Infrastructure,Unknown,38,-80,Manivong-House,5c:64:7a:63:0e:d8,-86,5180,102.61678097394794,17.925266588992265
MK,94:98:69:3b:26:54,zte corporation,0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:21.515,2024-11-07 03:32:08.397,Infrastructure,Unknown,81,-63,MK,94:98:69:3b:26:54,-84,2447,102.6169784230294,17.924760897045054
LT ComputerUT,e8:6e:44:dc:75:32,zte corporation,0,WPA2-Personal,CCMP,802.11n,4,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:21.515,2024-11-07 03:32:08.397,Infrastructure,Unknown,53,-75,LT ComputerUT,e8:6e:44:dc:75:32,-83,2427,102.61690076845709,17.924751683128395
PowerpuffGirls,6c:14:6e:6f:cc:d0,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,149,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:30.264,2024-11-07 03:37:52.625,Infrastructure,Unknown,75,-67,PowerpuffGirls,6c:14:6e:6f:cc:d0,-78,5745,102.61690076845709,17.924751683128395
UNITEL_KIS3,24:43:e2:40:b2:ef,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:30.264,2024-11-07 03:37:52.625,Infrastructure,Unknown,72,-68,UNITEL_KIS3,24:43:e2:40:b2:ef,-88,2462,102.61675873844644,17.925122770946192
Chan tha phone,9c:65:ee:3f:7c:8f,DZS Inc.,0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:30.264,2024-11-07 03:32:08.397,Infrastructure,Unknown,70,-69,Chan tha phone,9c:65:ee:3f:7c:8f,-74,2462,102.61713483061088,17.924155819824847
Miki2,d8:32:14:7a:60:f0,"Tenda Technology Co.,Ltd.Dongguan branch",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:30.264,2024-11-07 03:37:52.625,Infrastructure,Unknown,70,-69,Miki2,d8:32:14:7a:60:f0,-85,2412,102.61752041957176,17.923454142611533
southalack px2,50:2b:73:3b:6e:71,"Tenda Technology Co.,Ltd.Dongguan branch",0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:36.118,2024-11-07 03:32:30.506,Infrastructure,Unknown,80,-64,southalack px2,50:2b:73:3b:6e:71,-88,2412,102.61776331287176,17.922853259558917
XI761116,24:43:e2:92:01:89,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11ac,161,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:36.118,2024-11-07 03:37:36.671,Infrastructure,Unknown,87,-52,XI761116,24:43:e2:92:01:89,-60,5805,102.61734513335618,17.92365061792144
XI761116,24:43:e2:92:01:88,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:36.118,2024-11-07 03:37:36.671,Infrastructure,Unknown,80,-65,XI761116,24:43:e2:92:01:88,-77,2412,102.61755356466496,17.923141830890952
WASECO_3A_5G,fc:d2:b6:18:f7:d9,IEEE Registration Authority,0,WPA2-Personal,CCMP,802.11ac,44,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:36.118,2024-11-07 03:32:20.577,Infrastructure,Unknown,20,-88,WASECO_3A_5G,fc:d2:b6:18:f7:d9,-79,5220,102.61734513335618,17.92365061792144
HUAWEI-w53B,e0:00:84:24:3e:bc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:36.118,2024-11-07 03:37:36.671,Infrastructure,Unknown,57,-74,HUAWEI-w53B,e0:00:84:24:3e:bc,-87,5180,102.61755356466496,17.923141830890952
Keo,e8:f6:54:bd:05:bd,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:36.118,2024-11-07 03:37:36.671,Infrastructure,Unknown,14,-91,Keo,e8:f6:54:bd:05:bd,-86,5180,102.61755356466496,17.923141830890952
HUAWEI-5G-P75d,e4:3e:c6:4e:e1:ec,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:36.118,2024-11-07 03:32:20.577,Infrastructure,Unknown,33,-82,HUAWEI-5G-P75d,e4:3e:c6:4e:e1:ec,-91,5180,102.61734513335618,17.92365061792144
WASECO_2A_5G,fc:d2:b6:18:f7:f9,IEEE Registration Authority,0,WPA2-Personal,CCMP,802.11ac,48,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:36.118,2024-11-07 03:32:20.577,Infrastructure,Unknown,22,-87,WASECO_2A_5G,fc:d2:b6:18:f7:f9,-80,5240,102.61734513335618,17.92365061792144
168internet_5G,a0:f4:79:fd:8a:dc,"HUAWEI TECHNOLOGIES CO.,LTD",0,WPA2-Personal,CCMP,802.11ac,40,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-07 03:30:36.118,2024-11-07 03:37:36.671,Infrastructure,Unknown,70,-69,168internet_5G,a0:f4:79:fd:8a:dc,-73,5200,102.61755356466496,17.923141830890952
Fiber Waseco,24:43:e2:3f:9e:a7,DASAN Network Solutions,0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:36.118,2024-11-07 03:32:20.577,Infrastructure,Unknown,31,-83,Fiber Waseco,24:43:e2:3f:9e:a7,-81,2462,102.61797635798796,17.922357244621093
Pasakone,b4:04:21:88:06:ca,zte corporation,0,WPA2-Personal,CCMP,802.11n,9,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-07 03:30:36.118,2024-11-07 03:32:20.577,Infrastructure,Unknown,40,-79,Pasakone,b4:04:21:88:06:ca,-75,2452,102.61734513335618,17.92365061792144
WASECO_1A,fc:d2:b6:18:f8:11,IEEE Registration Authority,0,WPA2-Personal,CCMP,802.11n,8,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:36.118,2024-11-07 03:32:20.577,Infrastructure,Unknown,43,-78,WASECO_1A,fc:d2:b6:18:f8:11,-63,2447,102.61739111968237,17.923765197657392
WASECO_2A,fc:d2:b6:18:f7:f1,IEEE Registration Authority,0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-07 03:30:36.118,2024-11-07 03:32:20.577,Infrastructure,Unknown,46,-77,WASECO_2A,fc:d2:b6:18:f7:f1,-72,2442,102.61734513335618,17.92365061792144
